check,status,value,threshold,note
sequence_target_rows,PASS,280.0,> 0,Rows are plot x future horizon.
seasons,PASS,2.0,>= 2,"Both seasons should be represented, but models will be fit within season."
input_weeks,PASS,5.0,5,Paper-informed default uses the first five observed weeks.
plots,PASS,40.0,>= 20,Plot-level sequences provide validation units.
target_horizons,PASS,4.0,>= 3,Future horizon outputs should exist after the input history.
incomplete_input_sequence_share,PASS,0.0,0,Each sequence should contain all input weeks.
target_missing_share,PASS,0.0,0,Target yield availability.
yield_like_features_in_default_model,PASS,0.0,0,Default model features should not contain current/previous yield or target-like columns.
default_model_feature_count,PASS,98.0,5-120,Feature count should stay compact enough for 40 plot sequences per season.
default_feature_mean_missing_share,PASS,0.0009,< 0.25,Mean missingness across selected model features.
