model_id,model_label,model_type,feature_order,feature,human_name,feature_family,note
M0,Persistence baseline,baseline_rule,1,current_fresh_matter_g,Current fresh matter,current fresh matter state,Rule: next fresh matter equals current fresh matter. Not trained as RF.
M0b,Treatment mean baseline,baseline_rule,1,nitrogen_treatment,Nitrogen treatment category,nitrogen treatment,Rule: use historical target mean for the treatment.
M1,Calendar + nitrogen RF,random_forest,1,forecast_horizon_days,Forecast lead time,calendar / lead time,Tests timing and treatment category only.
M1,Calendar + nitrogen RF,random_forest,2,nitrogen_treatment,Nitrogen treatment category,nitrogen treatment,Tests timing and treatment category only.
M1,Calendar + nitrogen RF,random_forest,3,origin_day_of_year,Forecast day of year,calendar / lead time,Tests timing and treatment category only.
M2,+ weather / GDD RF,random_forest,1,cumulative_gdd_base_10,Cumulative gdd base 10,weather / thermal time,"Adds weather, radiation and thermal-time context."
M2,+ weather / GDD RF,random_forest,2,cumulative_solar_radiation,Cumulative solar radiation,weather / thermal time,"Adds weather, radiation and thermal-time context."
M2,+ weather / GDD RF,random_forest,3,forecast_horizon_days,Forecast lead time,calendar / lead time,"Adds weather, radiation and thermal-time context."
M2,+ weather / GDD RF,random_forest,4,gdd_base_10,Gdd base 10,weather / thermal time,"Adds weather, radiation and thermal-time context."
M2,+ weather / GDD RF,random_forest,5,nitrogen_treatment,Nitrogen treatment category,nitrogen treatment,"Adds weather, radiation and thermal-time context."
M2,+ weather / GDD RF,random_forest,6,origin_day_of_year,Forecast day of year,calendar / lead time,"Adds weather, radiation and thermal-time context."
M2,+ weather / GDD RF,random_forest,7,rhmean_7d,Rhmean 7d,weather / thermal time,"Adds weather, radiation and thermal-time context."
M2,+ weather / GDD RF,random_forest,8,solar_radiation_7d,Solar radiation 7d,weather / thermal time,"Adds weather, radiation and thermal-time context."
M2,+ weather / GDD RF,random_forest,9,tmean_7d,Tmean 7d,weather / thermal time,"Adds weather, radiation and thermal-time context."
M3,+ leading crop indicators RF,random_forest,1,cumulative_gdd_base_10,Cumulative gdd base 10,weather / thermal time,Adds leading crop indicators while excluding direct fresh-matter history.
M3,+ leading crop indicators RF,random_forest,2,cumulative_solar_radiation,Cumulative solar radiation,weather / thermal time,Adds leading crop indicators while excluding direct fresh-matter history.
M3,+ leading crop indicators RF,random_forest,3,current_dry_matter_g,Current dry matter,current dry matter state,Adds leading crop indicators while excluding direct fresh-matter history.
M3,+ leading crop indicators RF,random_forest,4,current_fruit_number,Current fruit count,fruit load,Adds leading crop indicators while excluding direct fresh-matter history.
M3,+ leading crop indicators RF,random_forest,5,dry_matter_trend_g,Dry-matter trend since previous observation,dry matter trajectory,Adds leading crop indicators while excluding direct fresh-matter history.
M3,+ leading crop indicators RF,random_forest,6,forecast_horizon_days,Forecast lead time,calendar / lead time,Adds leading crop indicators while excluding direct fresh-matter history.
M3,+ leading crop indicators RF,random_forest,7,fruit_number_trend,Fruit-count trend since previous observation,fruit load,Adds leading crop indicators while excluding direct fresh-matter history.
M3,+ leading crop indicators RF,random_forest,8,gdd_base_10,Gdd base 10,weather / thermal time,Adds leading crop indicators while excluding direct fresh-matter history.
M3,+ leading crop indicators RF,random_forest,9,mean_fruit_diameter_mm,Mean fruit diameter,fruit size sample,Adds leading crop indicators while excluding direct fresh-matter history.
M3,+ leading crop indicators RF,random_forest,10,mean_individual_fruit_fresh_weight_g,Mean individual fruit weight,fruit size sample,Adds leading crop indicators while excluding direct fresh-matter history.
M3,+ leading crop indicators RF,random_forest,11,nitrogen_treatment,Nitrogen treatment category,nitrogen treatment,Adds leading crop indicators while excluding direct fresh-matter history.
M3,+ leading crop indicators RF,random_forest,12,origin_day_of_year,Forecast day of year,calendar / lead time,Adds leading crop indicators while excluding direct fresh-matter history.
M3,+ leading crop indicators RF,random_forest,13,rhmean_7d,Rhmean 7d,weather / thermal time,Adds leading crop indicators while excluding direct fresh-matter history.
M3,+ leading crop indicators RF,random_forest,14,sample_length_mm_median,Median sample fruit length,fruit size sample,Adds leading crop indicators while excluding direct fresh-matter history.
M3,+ leading crop indicators RF,random_forest,15,solar_radiation_7d,Solar radiation 7d,weather / thermal time,Adds leading crop indicators while excluding direct fresh-matter history.
M3,+ leading crop indicators RF,random_forest,16,tmean_7d,Tmean 7d,weather / thermal time,Adds leading crop indicators while excluding direct fresh-matter history.
M4,Compact crop/weather RF,random_forest,1,cumulative_gdd_base_10,Cumulative gdd base 10,weather / thermal time,Adds current fresh matter and a compact fresh-matter trend.
M4,Compact crop/weather RF,random_forest,2,cumulative_solar_radiation,Cumulative solar radiation,weather / thermal time,Adds current fresh matter and a compact fresh-matter trend.
