check,status,value,threshold,note
plot_current_yield_lookup_missing_share,PASS,0.0,0,Every plot forecast origin should map to a current tidy observation.
plot_target_yield_lookup_missing_share,PASS,0.0,0,Every plot target date should map to a future tidy observation.
plot_current_yield_max_abs_diff_g,PASS,0.0,0,Feature current yield must equal tidy yield at forecast origin.
plot_target_yield_max_abs_diff_g,PASS,0.0,0,Target next_yield_g must equal tidy yield at target date.
plot_non_future_target_rows,PASS,0.0,0,All target dates must be after forecast origin dates.
plot_forecast_horizon_min_days,PASS,5.0,> 0,Forecast horizon should be strictly positive.
plot_forecast_horizon_max_days,PASS,9.0,<= 21,Long gaps should be reviewed.
aggregate_current_lookup_missing_share,PASS,0.0,0,Every aggregate forecast origin should map to current aggregate observations.
aggregate_target_lookup_missing_share,PASS,0.0,0,Every aggregate target date should map to future aggregate observations.
aggregate_current_yield_max_abs_diff_g,PASS,0.0,0,Aggregate current yield must equal sum of plot yields at forecast origin.
aggregate_target_yield_max_abs_diff_g,PASS,0.0,0,Aggregate target yield must equal sum of plot yields at target date.
aggregate_non_future_target_rows,PASS,0.0,0,All aggregate target dates must be after forecast origin dates.
aggregate_n_plot_mismatch_rows,PASS,0.0,0,Aggregate feature n_plots should equal tidy plot count at forecast origin.
future_target_features_selected,PASS,0.0,0,Selected features should not include target/next/future/error columns.
lag_warning_models,WARN,27.0,0,Number of model/task combinations with one-window lag warning.
non_persistence_lag_warning_models,WARN,21.0,0,Lag warnings on learned/non-persistence models are more concerning.
